name,link,full_path,dob,taken,gender,age
Puput Novel,https://id.wikipedia.org/wiki/Puput_Novel,./foto/Puput_Novel31.JPG,Aug 31 1974,2014:07:18,0,40.0
Rita Effendy,https://id.wikipedia.org/wiki/Rita_Effendy,./foto/Rita_Effendy_%28foto_oleh_Wowkeren.com%29.jpg,Apr 26 1969,2005:10:13,0,36.0
Rossa,https://id.wikipedia.org/wiki/Rossa,./foto/Rossa_Roslaina.jpg,Oct 9 1978,2017:02:23,0,39.0
Sherina,https://id.wikipedia.org/wiki/Sherina,./foto/SherinaMunaf.jpg,Jun 11 1990,2011:07:29,0,21.0
Titiek Puspa,https://id.wikipedia.org/wiki/Titiek_Puspa,./foto/Titiek_Puspa_Varia_cover.jpg,Nov 1 1937,2014:01:05,0,77.0
Waldjinah,https://id.wikipedia.org/wiki/Waldjinah,./foto/Waldjinah_met_Orkes_Keroncong_Bintang_Surakarta_Tong_Tong_Fair2.jpg,Nov 7 1945,2013:03:03,0,68.0
Abimana Aryasatya,https://id.wikipedia.org/wiki/Abimana_Aryasatya,./foto/AbimanaAryasatya.JPG,Oct 24 1982,2016:09:19,1,34.0
Ali Mensan,https://id.wikipedia.org/wiki/Ali_Mensan,./foto/Ali_Mensan_in_%27Catatan_Dodol_Calon_Dokter%27.jpg,Apr 18 1987,2016:04:14,1,29.0
Andi Arsyil Rahman,https://id.wikipedia.org/wiki/Andi_Arsyil_Rahman,./foto/Andi_Arsyil.jpg,Sep 15 1987,2012:11:15,1,25.0
Basuki Effendy,https://id.wikipedia.org/wiki/Basuki_Effendy,./foto/Basuki_Effendy_Film_Varia_May_1954_p35.jpg,May 9 1930,2013:12:11,1,83.0
Bintang Panglima,https://id.wikipedia.org/wiki/Bintang_Panglima,./foto/Bintang_Panglima.jpg,Jul 10 2001,2010:12:20,1,9.0
Darussalam,https://id.wikipedia.org/wiki/Darussalam,./foto/Darussalam%2C_Film_Varia_1.8_%28July_1954%29%2C_p35.jpg,Sep 12 1920,2013:12:11,1,93.0
Donny Kesuma,https://id.wikipedia.org/wiki/Donny_Kesuma,./foto/Donny_Kesuma.jpg,Jun 6 1968,2011:02:17,1,43.0
Farhan,https://id.wikipedia.org/wiki/Farhan,./foto/Farhan_DeltaFM.JPG,Feb 25 1970,2011:11:18,1,41.0
Gandhi Fernando,https://id.wikipedia.org/wiki/Gandhi_Fernando,./foto/MG_7350-2.jpg,Feb 8 1990,2016:02:23,1,26.0
Gilang Dirgahari,https://id.wikipedia.org/wiki/Gilang_Dirgahari,./foto/Gilang_dirgahari.jpg,Aug 17 1989,2009:11:01,1,20.0
Gilbert Marciano,https://id.wikipedia.org/wiki/Gilbert_Marciano,./foto/Gilbert_Marciano.jpg,Sep 26 1988,2008:05:20,1,20.0
Jaitov Tigor,https://id.wikipedia.org/wiki/Sumaisy_Djaitov_Yanda,./foto/Tigor.jpeg,Dec 14 1968,2012:11:30,1,44.0
Jarwo Kwat,https://id.wikipedia.org/wiki/Jarwo_Kwat,./foto/DSCN0219-2.jpg,Aug 23 1967,2014:01:19,1,47.0
Jordi Onsu,https://id.wikipedia.org/wiki/Jordi_Onsu,./foto/Jordi_Onsu.jpg,Jun 12 1993,2011:08:22,1,18.0
Kevin Julio,https://id.wikipedia.org/wiki/Kevin_Julio,./foto/Kevin_Julio_in_2015.jpg,Jul 28 1993,2014:12:21,1,21.0
Mario Maulana,https://id.wikipedia.org/wiki/Mario_Maulana,./foto/Mario_Maulana.jpg,Mar 11 1981,2014:05:11,1,33.0
Mike Lucock,https://id.wikipedia.org/wiki/Mike_Lucock,./foto/Mike_Lucock.JPG,Oct 19 1986,2010:02:16,1,24.0
Morgan Oey,https://id.wikipedia.org/wiki/Morgan_Oey,./foto/Morgan_Oey.JPG,May 25 1990,2010:11:03,1,20.0
Pepi,https://id.wikipedia.org/wiki/Pepi,./foto/Pepi_HP.jpg,Nov 7 1975,2009:07:21,1,34.0
Pierre Gruno,https://id.wikipedia.org/wiki/Pierre_Gruno,./foto/Pierre_Gruno.jpg,Aug 29 1948,2006:02:24,1,58.0
Rendra Karno,https://id.wikipedia.org/wiki/Rendra_Karno,./foto/Raden_Sukarno%2C_Film_Varia_1.8_%28July_1954%29%2C_p31.jpg,May 7 1920,2013:12:11,1,93.0
Soekarno M. Noer,https://id.wikipedia.org/wiki/Soekarno_M._Noer,./foto/Sukarno_M_Noor%2C_Film_Varia_1.8_%28July_1954%29%2C_p7.jpg,Sep 13 1931,2013:12:11,1,82.0
Sogi Indra Dhuaja,https://id.wikipedia.org/wiki/Sogi_Indra_Dhuaja,./foto/Sogi_Indra_Dhuaja.jpg,Sep 7 1977,2008:03:09,1,31.0
Sophan Sophian,https://id.wikipedia.org/wiki/Sophan_Sophian,./foto/Sophan_Sophian.jpg,Apr 26 1944,2007:01:03,1,63.0
Agesh Palmer,https://id.wikipedia.org/wiki/Agesh_Palmer,./foto/Agesh_eileen_palmer.jpg,May 17 1994,2012:04:25,0,18.0
Amara,https://id.wikipedia.org/wiki/Amara,./foto/Amara.jpg,Jul 8 1975,2004:01:24,0,29.0
Berliana Febrianti,https://id.wikipedia.org/wiki/Berliana_Febrianti,./foto/Berliana_Febrianti.jpg,Feb 21 1973,2008:07:08,0,35.0
Deswita Maharani,https://id.wikipedia.org/wiki/Deswita_Maharani,./foto/Deswita_Maharani.jpg,Dec 7 1980,2006:02:08,0,26.0
Gita Gutawa,https://id.wikipedia.org/wiki/Gita_Gutawa,./foto/Gita_Gutawa_in_concert_15.jpg,Aug 11 1993,2008:11:26,0,15.0
Jajang C. Noer,https://id.wikipedia.org/wiki/Jajang_C._Noer,./foto/Jajang_C._Noer_%282006%29.jpg,Jun 28 1952,2006:10:26,0,54.0
Julia Perez,https://id.wikipedia.org/wiki/Julia_Perez,./foto/Julia_Perez.jpg,Jul 15 1980,2006:11:26,0,26.0
Kamidia Radisti,https://id.wikipedia.org/wiki/Kamidia_Radisti,./foto/Miss_Indonesia_Kamidia_Radisti.jpg,Feb 23 1984,2007:12:01,0,23.0
Karina Salim,https://id.wikipedia.org/wiki/Karina_Salim,./foto/Karina_Salim.jpg,Aug 24 1991,2013:01:20,0,22.0
Krisdayanti,https://id.wikipedia.org/wiki/Krisdayanti,./foto/Krisdayanti_2004_1.jpg,Mar 24 1975,2004:06:26,0,29.0
Laila Sari,https://id.wikipedia.org/wiki/Laila_Sari,./foto/Laila_Sari.jpg,Nov 4 1935,2014:04:21,0,79.0
Lala Karmela,https://id.wikipedia.org/wiki/Lala_Karmela,./foto/LalaKarmelaStage.jpg,Apr 2 1985,2016:12:17,0,31.0
Marissa Haque,https://id.wikipedia.org/wiki/Marissa_Haque,./foto/Marissa_Haque.jpg,Oct 15 1962,2006:10:22,0,44.0
Mey Chan,https://id.wikipedia.org/wiki/Mey_Chan,./foto/Princess_Of_Disco.jpg,May 14 1986,2010:10:19,0,24.0
Nurul Arifin,https://id.wikipedia.org/wiki/Nurul_Arifin,./foto/Nurul_Arifin.jpg,Jul 18 1966,2018:06:28,0,52.0
Puput Novel,https://id.wikipedia.org/wiki/Puput_Novel,./foto/Puput_Novel31.JPG,Aug 31 1974,2014:07:18,0,40.0
Rachel Maryam,https://id.wikipedia.org/wiki/Rachel_Maryam,./foto/23%C2%BA_Foro_Parlamentario_Asia_Pac%C3%ADfico_-_Delegaci%C3%B3n_Indonesia_%2816265847862%29.jpg,Apr 20 1980,2015:01:12,0,35.0
Raline Shah,https://id.wikipedia.org/wiki/Raline_Shah,./foto/Raline_Shah_Rotaract_Semanggi_Hariadhi.jpg,Mar 4 1985,2012:08:04,0,27.0
Ratna Riantiarno,https://id.wikipedia.org/wiki/Ratna_Riantiarno,./foto/Ratna_Riantiarno.jpg,Apr 23 1952,2015:07:28,0,63.0
Ririn Ekawati,https://id.wikipedia.org/wiki/Ririn_Ekawati,./foto/Ririn-ekawati-057.jpg,Nov 11 1982,2011:02:27,0,29.0
Risty Tagor,https://id.wikipedia.org/wiki/Risty_Tagor,./foto/Risty_Tagor.jpg,Apr 12 1989,2012:07:17,0,23.0
Roosilawaty,https://id.wikipedia.org/wiki/Roosilawaty,./foto/Roosliawaty_Nasional_21_Jun_1960_p3.jpg,Apr 15 1939,2012:07:31,0,73.0
Sherina Munaf,https://id.wikipedia.org/wiki/Sherina_Munaf,./foto/SherinaMunaf.jpg,Jun 11 1990,2011:07:29,0,21.0
Sofia W.D.,https://id.wikipedia.org/wiki/Sofia_W.D.,./foto/Sofia_WD_Film_Varia_Nov_1953_p6.jpg,Oct 12 1924,2013:12:11,0,89.0
Titiek Puspa,https://id.wikipedia.org/wiki/Titiek_Puspa,./foto/Titiek_Puspa_Varia_cover.jpg,Nov 1 1937,2014:01:05,0,77.0
Zulfa Maharani,https://id.wikipedia.org/wiki/Zulfa_Maharani_Putri,./foto/Zulfa_Maharani.jpg,Dec 10 1999,2013:10:26,0,14.0
