name,link,full_path,dob,taken,gender
Haddad Alwi,https://id.wikipedia.org/wiki/Haddad_Alwi,./foto/Bghddad-alwi.jpg,Mar 13 1966,2013:05:25,1
Harry Roesli,https://id.wikipedia.org/wiki/Harry_Roesli,./foto/Harryroesli.jpg,Sep 10 1951,,1
Harvey Malaihollo,https://id.wikipedia.org/wiki/Harvey_Malaiholo,,May 3 1962,,1
Hedi Yunus,https://id.wikipedia.org/wiki/Hedi_Yunus,,Aug 24 1968,,1
Hemi Pesulima,https://id.wikipedia.org/wiki/Hemi_Pesulima,,,,1
Igo,https://id.wikipedia.org/wiki/Igo_Pentury,,,,1
Igor Tamerlan,https://id.wikipedia.org/wiki/Igor_Tamerlan,./foto/Igor_Tamerlan_enregistrant_%C3%A0_Paris.jpg,Sep 8 1954,2018:01:20,1
Ihsan,https://id.wikipedia.org/wiki/Muhammad_Ihsan_Tarore,./foto/Ihsan_Idol1.jpg,Aug 20 1989,,1
Ikang Fawzi,https://id.wikipedia.org/wiki/Ikang_Fawzi,./foto/Signature_of_Ikang_Fawzi.svg,Oct 23 1959,,1
Imanez,https://id.wikipedia.org/wiki/Imanez,,Jun 22 1967,,1
Indra Bekti,https://id.wikipedia.org/wiki/Indra_Bekti,,Dec 28 1977,,1
Indra Lesmana,https://id.wikipedia.org/wiki/Indra_Lesmana,./foto/Indra-live-pic2.jpg,Mar 28 1966,,1
Ipang,https://id.wikipedia.org/wiki/Ipang,,,,1
Irwansyah,https://id.wikipedia.org/wiki/Irwansyah,./foto/Irwansyah3.jpg,Mar 6 1985,,1
Is Haryanto,https://id.wikipedia.org/wiki/Is_Haryanto,,Aug 22 1940,,1
Itang Yunasz,https://id.wikipedia.org/wiki/Itang_Yunasz,,,,1
Iwa K,https://id.wikipedia.org/wiki/Iwa_K,,Oct 25 1970,,1
Iwan Abdie,https://id.wikipedia.org/wiki/Iwan_Abdie,,,,1
Iwan Fals,https://id.wikipedia.org/wiki/Iwan_Fals,,Sep 3 1961,,1
JFlow,https://id.wikipedia.org/wiki/JFlow,,Apr 8 1985,,1
Jaja Mihardja,https://id.wikipedia.org/wiki/Jaja_Mihardja,,Nov 1 1950,,1
Jamal Mirdad,https://id.wikipedia.org/wiki/Jamal_Mirdad,,May 7 1960,,1
Jamie Graham,https://id.wikipedia.org/wiki/Jamie_Aditya,,,,1
Jeffry Al Buchori,https://id.wikipedia.org/wiki/Jeffry_Al_Buchori,,,,1
Jhonny Iskandar,https://id.wikipedia.org/wiki/Jhonny_Iskandar,,,,1
Jimmie Manopo,https://id.wikipedia.org/wiki/Jimmie_Manopo,,Aug 22 1953,,1
Joeniar Arief,https://id.wikipedia.org/wiki/Joeniar_Arief,,Jun 18 1975,,1
Johan Untung,https://id.wikipedia.org/wiki/Johan_Untung,,Sep 29 1955,,1
Joshua Suherman,https://id.wikipedia.org/wiki/Joshua_Suherman,,Nov 3 1992,,1
Judika,https://id.wikipedia.org/wiki/Judika,./foto/Judik.jpg,Aug 31 1978,,1
Junaedi Salat,https://id.wikipedia.org/wiki/Junaedi_Salat,,,,1
Katon Bagaskara,https://id.wikipedia.org/wiki/Katon_Bagaskara,./foto/Katon_b.JPG,Jun 14 1966,,1
Keenan Nasution,https://id.wikipedia.org/wiki/Keenan_Nasution,,Jun 5 1952,,1
Kojek,https://id.wikipedia.org/wiki/Kojek,,Nov 13 1986,,1
Koes Hendratmo,https://id.wikipedia.org/wiki/Koes_Hendratmo,,Feb 9 1943,,1
Kris Biantoro,https://id.wikipedia.org/wiki/Kris_Biantoro,./foto/Kris_biantoro.jpg,Mar 17 1938,,1
Krisyanto,https://id.wikipedia.org/wiki/Krisyanto,,Feb 17 1966,,1
Kunto Aji,https://id.wikipedia.org/wiki/Kunto_Aji_Wibisono,,,,1
Leo Kristi,https://id.wikipedia.org/wiki/Leo_Kristi,,,,1
Leonardo,https://id.wikipedia.org/wiki/Leonardo_Ringo,,Aug 5 1977,,1
Lilo,https://id.wikipedia.org/wiki/Romulo_Radjadin,,,,1
Lobow,https://id.wikipedia.org/wiki/Lobow,./foto/Lobow.jpg,Sep 1 1977,,1
Lucky Octavian,https://id.wikipedia.org/wiki/Lucky_Octavian,./foto/1lucky.jpg,Oct 9 1981,,1
Lucky Wija,https://id.wikipedia.org/wiki/Lucky_Wija,,Sep 1 1975,,1
Luky Annash,https://id.wikipedia.org/wiki/Luky_Annash,./foto/Lukybyoxalis.jpg,Jul 21 1984,,1
Mansyur S,https://id.wikipedia.org/wiki/Mansyur_S,,Nov 30 1948,,1
Marcell,https://id.wikipedia.org/wiki/Marcell_Siahaan,,Sep 21 1977,,1
Matthew Sayersz,https://id.wikipedia.org/wiki/Matthew_Sayersz,,May 28 1988,,1
Mawi Purba,https://id.wikipedia.org/wiki/Mawi_Purba,,,,1
Mbah Surip,https://id.wikipedia.org/wiki/Mbah_Surip,,May 6 1957,,1
Melky Goeslaw,https://id.wikipedia.org/wiki/Melky_Goeslaw,,,,1
Meggy Z,https://id.wikipedia.org/wiki/Meggy_Z,,Aug 24 1945,,1
Mike Mohede,https://id.wikipedia.org/wiki/Mike_Mohede,./foto/Mike_Mohede.jpg,Nov 7 1983,,1
Mirza Hakim,https://id.wikipedia.org/wiki/Icha,,Oct 11 1976,,1
Muchsin Alatas,https://id.wikipedia.org/wiki/Muchsin_Alatas,,Feb 3 1944,,1
Mus Mujiono,https://id.wikipedia.org/wiki/Mus_Mujiono,,Mar 15 1960,,1
Mus Mulyadi,https://id.wikipedia.org/wiki/Mus_Mulyadi,,Aug 14 1945,,1
Nahum Situmorang,https://id.wikipedia.org/wiki/Nahum_Situmorang,,,,1
Nugie,https://id.wikipedia.org/wiki/Nugie,,Aug 31 1971,,1
Oddie Agam,https://id.wikipedia.org/wiki/Oddie_Agam,,,,1
Once Mekel,https://id.wikipedia.org/wiki/Elfonda_Mekel,./foto/Once_Dewa_2005.JPG,May 21 1970,2005:02:27,1
Opick,https://id.wikipedia.org/wiki/Opick,,Mar 16 1974,,1
Ozy Syahputra,https://id.wikipedia.org/wiki/Ozy_Syahputra,,Dec 1 1962,,1
Pance Pondaag,https://id.wikipedia.org/wiki/Pance_Pondaag,./foto/Pance_Pondaag.jpg,Feb 18 1951,,1
Pandji Pragiwaksono,https://id.wikipedia.org/wiki/Pandji_Pragiwaksono,./foto/Pandji_Social_Movement_Festival_Rotaract_Semanggi_Hariadhi.jpg,Jun 18 1979,,1
Petra Sihombing,https://id.wikipedia.org/wiki/Petra_Sihombing,,,,1
Pongki Barata,https://id.wikipedia.org/wiki/Pongki_Barata,,Nov 16 1977,,1
Pranadjaja,https://id.wikipedia.org/wiki/Pranadjaja,,,,1
Purnomo Sikas,https://id.wikipedia.org/wiki/Purnomo_Sikas,,,,1
Rachmat Kartolo,https://id.wikipedia.org/wiki/Rachmat_Kartolo,./foto/Rachmat_Kartolo_and_Wilsa%2C_Kunanti_Djawabmu%2C_1963_%28portrait_1%29.jpg,Mar 13 1938,,1
Rama Aiphama,https://id.wikipedia.org/wiki/Rama_Aiphama,,Sep 17 1956,,1
Ramona Purba,https://id.wikipedia.org/wiki/Ramona_Purba,./foto/Ramona_purba.jpg,Mar 12 1964,,1
Rano Karno,https://id.wikipedia.org/wiki/Rano_Karno,,,,1
Ras Muhamad,https://id.wikipedia.org/wiki/Ras_Muhamad,,Oct 29 1982,,1
Ren Tobing,https://id.wikipedia.org/wiki/Ren_Tobing,,Jun 7 1972,,1
Rendy Pandugo,https://id.wikipedia.org/wiki/Rendy_Pandugo,./foto/Rendy-Pandugo.jpg,May 7 1985,,1
Ressa Herlambang,https://id.wikipedia.org/wiki/Ressa_Herlambang,,Apr 18 1985,,1
Revo Marty,https://id.wikipedia.org/wiki/Revo_Marty,./foto/Revomarty.jpg,Oct 31 1985,,1
Reynold Panggabean,https://id.wikipedia.org/wiki/Reynold_Panggabean,,,,1
Rhoma Irama,https://id.wikipedia.org/wiki/Rhoma_Irama,./foto/Rhoma_Irama-cropped.jpg,Dec 11 1946,,1
Richie Ricardo,https://id.wikipedia.org/wiki/Richie_Ricardo,,,,1
Rinto Harahap,https://id.wikipedia.org/wiki/Rinto_Harahap,,Apr 10 1949,,1
Rio Febrian,https://id.wikipedia.org/wiki/Rio_Febrian,,,,1
Rio Silaen,https://id.wikipedia.org/wiki/Rio_Silaen,,,,1
Ron,https://id.wikipedia.org/wiki/Eron_Lebang,,,,1
Ronnie Sianturi,https://id.wikipedia.org/wiki/Ronny_Sianturi,,Sep 3 1965,,1
Ronni Waluya,https://id.wikipedia.org/wiki/Ronni_Waluya,,Dec 30 1966,,1
Sahrul Gunawan,https://id.wikipedia.org/wiki/Sahrul_Gunawan,,May 23 1976,,1
Sam Saimun,https://id.wikipedia.org/wiki/Sam_Saimun,,,,1
Sammy Simorangkir,https://id.wikipedia.org/wiki/Sammy_Simorangkir,,Sep 8 1982,,1
Sandhy Sondoro,https://id.wikipedia.org/wiki/Sandhy_Sondoro,,,,1
Sandy Canester,https://id.wikipedia.org/wiki/Sandy_Canester,,,,1
Sandy Thema,https://id.wikipedia.org/wiki/Sandy_Thema,,Apr 10 1985,,1
Sandro Tobing,https://id.wikipedia.org/wiki/Sandro_Tobing,,Mar 17 1963,,1
Sarwana,https://id.wikipedia.org/wiki/Sarwana_Thamrin,,May 17 1973,,1
Sawung Jabo,https://id.wikipedia.org/wiki/Sawung_Jabo,,May 4 1951,,1
Saykoji,https://id.wikipedia.org/wiki/Saykoji,,Jun 8 1983,,1
Setiawan Djodi,https://id.wikipedia.org/wiki/Setiawan_Djodi,,Apr 13 1949,,1
Sigit Wardana,https://id.wikipedia.org/wiki/Sigit_Wardana,,Jul 26 1978,,1
Stanley Sagala,https://id.wikipedia.org/wiki/Stanley_Sagala,,Oct 7 1973,,1
Sujiwo Tejo,https://id.wikipedia.org/wiki/Sujiwo_Tejo,,,,1
Sule,https://id.wikipedia.org/wiki/Entis_Sutisna,,Nov 15 1976,,1
Tantowi Yahya,https://id.wikipedia.org/wiki/Tantowi_Yahya,./foto/Ty3.jpg,Oct 29 1960,,1
Teza Sumendra,https://id.wikipedia.org/wiki/Teza_Sumendra,,Mar 11 1988,,1
Thomas Djorghi,https://id.wikipedia.org/wiki/Thomas_Djorghi,,Jun 12 1969,,1
Tiar Ramon,https://id.wikipedia.org/wiki/Tiar_Ramon,,,,1
Tito Soemarsono,https://id.wikipedia.org/wiki/Tito_Sumarsono,,,,1
Tompi,https://id.wikipedia.org/wiki/Tompi,./foto/Tompi.jpg,Sep 22 1978,2005:10:30,1
Tony Q Rastafara,https://id.wikipedia.org/wiki/Tony_Q_Rastafara,,Apr 27 1961,,1
Tulus,https://id.wikipedia.org/wiki/Muhammad_Tulus,,,,1
Utha Likumahuwa,https://id.wikipedia.org/wiki/Utha_Likumahuwa,,Aug 1 1955,,1
Vadi,https://id.wikipedia.org/wiki/Vadi_Akbar,,Aug 8 1995,,1
Victor Hutabarat,https://id.wikipedia.org/wiki/Victor_Hutabarat,,,,1
Viky Sianipar,https://id.wikipedia.org/wiki/Viky_Sianipar,,Jul 26 1976,,1
Vidi Aldiano,https://id.wikipedia.org/wiki/Vidi_Aldiano,./foto/Vidi_Aldiano_live_%40_Trans_TV.jpg,Mar 29 1990,2011:11:04,1
Virzha,https://id.wikipedia.org/wiki/Di_Muhammad_Devirzha,,,,1
Wizzow,https://id.wikipedia.org/wiki/Wizzow,./foto/Wizzow_Upload.jpg,Apr 22 1983,,1
Yana Julio,https://id.wikipedia.org/wiki/Yana_Julio,,Apr 8 1960,,1
Acha Septriasa,https://id.wikipedia.org/wiki/Acha_Septriasa,,Sep 1 1989,,0
Adinda Shalahita,https://id.wikipedia.org/wiki/Adinda_Shalahita,,Dec 13 1991,,0
Agnes Monica,https://id.wikipedia.org/wiki/Agnes_Monica,./foto/Agnes_Monica_in_2009_Asia_Song_Festival.jpg,Jul 1 1986,2009:09:18,0
Aida Mustafa,https://id.wikipedia.org/wiki/Aida_Mustafa,,Sep 23 1951,,0
Aimee Saras,https://id.wikipedia.org/wiki/Aimee_Saras,,Aug 14 1983,,0
Ajeng,https://id.wikipedia.org/wiki/Ajeng,,,,0
Alda Risma,https://id.wikipedia.org/wiki/Alda_Risma,,Nov 23 1982,,0
Aldyna,https://id.wikipedia.org/wiki/Aldyna,,Jun 22 1986,,0
Alena,https://id.wikipedia.org/wiki/Alena,,Nov 9 1981,,0
Alika,https://id.wikipedia.org/wiki/Karis_Alika_Islamadina,./foto/Alika_-_Aku_Pergi.jpg,Jun 24 1994,,0
Amanda,https://id.wikipedia.org/wiki/Rachel_Amanda,,,,0
Andi Meriem Matalatta,https://id.wikipedia.org/wiki/Andi_Meriem_Matalatta,,Aug 31 1957,,0
Andien,https://id.wikipedia.org/wiki/Andien,,Aug 25 1985,,0
Andira,https://id.wikipedia.org/wiki/Andira,,Mar 8 1995,,0
Andita,https://id.wikipedia.org/wiki/Andita_Minarska,,,,0
Andity,https://id.wikipedia.org/wiki/Andity,,Nov 20 1981,,0
Andrea Miranda,https://id.wikipedia.org/wiki/Andrea_Miranda,,Feb 14 1986,,0
Angel Paff,https://id.wikipedia.org/wiki/Angel_Paff,,,,0
Angel Pieters,https://id.wikipedia.org/wiki/Angel_Pieters,,Aug 15 1997,,0
Anggun C. Sasmi,https://id.wikipedia.org/wiki/Anggun_C._Sasmi,,,,0
Anie Carera,https://id.wikipedia.org/wiki/Anie_Carera,./foto/Anie-carera2016.jpg,Jun 1 1969,,0
Anita Tourisia,https://id.wikipedia.org/wiki/Anita_Tourisia,,,,0
Anna Mathovani,https://id.wikipedia.org/wiki/Anna_Mathovani,,,,0
Anneke Gronloh,https://id.wikipedia.org/wiki/Anneke_Gronloh,./foto/Anneke_Gr%C3%B6nloh.png,Jun 7 1942,,0
Annie Ibon,https://id.wikipedia.org/wiki/Annie_Ibon,./foto/Annie_Ibon.jpg,Sep 6 1969,,0
Arie Koesmiran,https://id.wikipedia.org/wiki/Arie_Kusmiran,,Apr 20 1958,,0
Arin Wolayan,https://id.wikipedia.org/wiki/Arin_Wolayan,,Jul 14 1988,,0
Ashanty,https://id.wikipedia.org/wiki/Ashanty,,Nov 4 1984,,0
Asteriska,https://id.wikipedia.org/wiki/Cabrini_Asteriska_Widiantini,,,,0
Asti Asmodiwati,https://id.wikipedia.org/wiki/Asti_Asmodiwati,,Aug 11 1967,,0
Astrid,https://id.wikipedia.org/wiki/Astrid_Sartiasari,,,,0
Atiek CB,https://id.wikipedia.org/wiki/Atiek_CB,,May 25 1963,,0
Audi Fristya,https://id.wikipedia.org/wiki/Audi_Fristya,,Feb 24 1994,,0
Audy,https://id.wikipedia.org/wiki/Audy,,Mar 24 1983,,0
Aura Kasih,https://id.wikipedia.org/wiki/Aura_Kasih,,Feb 26 1987,,0
Ayu Azhari,https://id.wikipedia.org/wiki/Ayu_Azhari,,Nov 19 1969,,0
Ayu Handayani,https://id.wikipedia.org/wiki/Ayu_Handayani,,Jul 13 1970,,0
Ayu Laksmi,https://id.wikipedia.org/wiki/Ayu_Laksmi,,Nov 25 1967,,0
Ayu Soraya,https://id.wikipedia.org/wiki/Ayu_Soraya,,,,0
Ayu Ting Ting,https://id.wikipedia.org/wiki/Ayu_Ting_Ting,,Jun 20 1992,,0
Ayushita,https://id.wikipedia.org/wiki/Ayushita,,Jun 9 1989,,0
Baby Valenta Duarte,https://id.wikipedia.org/wiki/Baby_Valenta_Duarte,./foto/3_Baby_Valenta_Duarte.jpg,Dec 18 1972,,0
Bella Saphira,https://id.wikipedia.org/wiki/Bella_Saphira,,Aug 6 1973,,0
Berlian Hutauruk,https://id.wikipedia.org/wiki/Berlian_Hutauruk,,Oct 11 1957,,0
Betharia Sonatha,https://id.wikipedia.org/wiki/Betharia_Sonatha,,Dec 14 1962,,0
Bilanova,https://id.wikipedia.org/wiki/Putri_Bilanova,,,,0
Bonita,https://id.wikipedia.org/wiki/Bonita,,May 7 1977,,0
Bornok Hutauruk,https://id.wikipedia.org/wiki/Bornok_Hutauruk,,,,0
Brianna Simorangkir,https://id.wikipedia.org/wiki/Brianna_Simorangkir,,,,0
Bunga Citra Lestari,https://id.wikipedia.org/wiki/Bunga_Citra_Lestari,,Mar 22 1983,,0
Calista Amadea,https://id.wikipedia.org/wiki/Calista_Amadea,,,,0
Camelia Malik,https://id.wikipedia.org/wiki/Camelia_Malik,,Apr 22 1955,,0
Chicha Koeswoyo,https://id.wikipedia.org/wiki/Chicha_Koeswoyo,,May 1 1968,,0
Chiki Fawzi,https://id.wikipedia.org/wiki/Chiki_Fawzi,,,,0
Chintami Atmanagara,https://id.wikipedia.org/wiki/Chintami_Atmanegara,,Jun 14 1962,,0
Chintya Sari,https://id.wikipedia.org/wiki/Chintya_Sari,,Dec 24 1982,,0
Chiquita Meidy,https://id.wikipedia.org/wiki/Chiquita_Meidy,./foto/Cikita.jpg,Oct 22 1990,2009:08:07,0
Christine Panjaitan,https://id.wikipedia.org/wiki/Christine_Panjaitan,,Dec 23 1960,,0
Cici Faramida,https://id.wikipedia.org/wiki/Cici_Faramida,,Sep 7 1973,,0
Cicih Cangkurileung,https://id.wikipedia.org/wiki/Cicih_Cangkurileung,,,,0
Cindy Bernadette,https://id.wikipedia.org/wiki/Cindy_Bernadette,,Feb 16 1978,,0
Cindy Carolina,https://id.wikipedia.org/wiki/Cindy_Carolina_Sibarani,,Mar 28 1982,,0
Cindy Cenora,https://id.wikipedia.org/wiki/Cindy_Cenora,,Dec 17 1990,,0
Cindy Claudia Harahap,https://id.wikipedia.org/wiki/Cindy_Claudia_Harahap,,Apr 5 1975,,0
Cindy Fatika Sari,https://id.wikipedia.org/wiki/Cindy_Fatika_Sari,,Dec 18 1978,,0
Cinta Laura,https://id.wikipedia.org/wiki/Cinta_Laura,,Aug 17 1993,,0
Cinta Ramlan,https://id.wikipedia.org/wiki/Cinta_Ramlan,,Feb 18 1982,,0
Cita Citata,https://id.wikipedia.org/wiki/Cita_Citata,,Aug 14 1994,,0
Citra Scholastika,https://id.wikipedia.org/wiki/Citra_Scholastika,,Jun 5 1994,,0
Connie Constantia,https://id.wikipedia.org/wiki/Connie_Constantia,,,,0
Conny Dio,https://id.wikipedia.org/wiki/Conny_Dio,,Jun 15 1975,,0
Cucu Cahyati,https://id.wikipedia.org/wiki/Cucu_Cahyati,,Aug 17 1970,,0
Cut Irna,https://id.wikipedia.org/wiki/Cut_Irna,,,,0
Cynthia Lamusu,https://id.wikipedia.org/wiki/Cynthia_Lamusu,,Apr 12 1978,,0
Cynthia Maramis,https://id.wikipedia.org/wiki/Cynthia_Maramis,,,,0
Danilla,https://id.wikipedia.org/wiki/Danilla,,,,0
Dea Mirella,https://id.wikipedia.org/wiki/Dea_Mirella,,May 23 1975,,0
Dea Mongkar,https://id.wikipedia.org/wiki/Dea_Mongkar,./foto/Dea_Mongkar.jpg,Oct 24 1991,,0
Deasy Arisandi,https://id.wikipedia.org/wiki/Deasy_Arisandi,./foto/Deasy_Arisandi.jpg,Nov 8 1958,,0
Deasy Natalina,https://id.wikipedia.org/wiki/Deasy_Natalina,,Dec 12 1981,,0
Delia Paramitha,https://id.wikipedia.org/wiki/Delia_Paramitha,,Dec 17 1979,,0
Denada,https://id.wikipedia.org/wiki/Denada,,Dec 19 1978,,0
Dera Siagian,https://id.wikipedia.org/wiki/Dera_Siagian,,Dec 2 1993,,0
Dessy Fitri,https://id.wikipedia.org/wiki/Dessy_Fitri,,Dec 9 1970,,0
Desy Ratnasari,https://id.wikipedia.org/wiki/Desy_Ratnasari,,,,0
Detty Kurnia,https://id.wikipedia.org/wiki/Detty_Kurnia,,Aug 15 1961,,0
Dewi Gita,https://id.wikipedia.org/wiki/Dewi_Gita,,Jul 28 1970,,0
Dewi Lestari,https://id.wikipedia.org/wiki/Dewi_Lestari,,,,0
Dewi Perssik,https://id.wikipedia.org/wiki/Dewi_Perssik,./foto/Dewi-persik.jpg,Dec 16 1985,,0
Dewi Puspa,https://id.wikipedia.org/wiki/Dewi_Puspa,,May 4 1959,,0
