name,link,full_path,dob,taken
Baim,https://id.wikipedia.org/wiki/Ibrahim_Imran,,,
Bams,https://id.wikipedia.org/wiki/Bams,,Jun 16 1983,
Bayu Risa,https://id.wikipedia.org/wiki/Bayu_Risa,,Oct 6 1983,
Beniqno,https://id.wikipedia.org/wiki/Beniqno,,Nov 11 1974,
Benny Panjaitan,https://id.wikipedia.org/wiki/Benny_Panjaitan,,,
Benyamin S,https://id.wikipedia.org/wiki/Benyamin_S,,,
Billy Simpson,https://id.wikipedia.org/wiki/Billy_Simpson,,Jul 17 1987,
Bing Slamet,https://id.wikipedia.org/wiki/Bing_Slamet,./foto/Bing_Slamet%2C_Film_Varia_1.6_%28May_1954%29%2C_p14.jpg,Sep 27 1927,
Bobby Sandhora,https://id.wikipedia.org/wiki/Bobby_Sandhora,,Jul 5 1972,
Bob Tutupoly,https://id.wikipedia.org/wiki/Bob_Tutupoly,./foto/Bob_tutupoly.jpg,Nov 13 1939,
Bondan Prakoso,https://id.wikipedia.org/wiki/Bondan_Prakoso,,May 8 1984,
Bram Aceh,https://id.wikipedia.org/wiki/Bram_Aceh,./foto/Bram_Aceh_album.jpg,Mar 4 1913,
Bram Moersas,https://id.wikipedia.org/wiki/Bram_Moersas,./foto/731.jpg,May 8 1965,
Broery Marantika,https://id.wikipedia.org/wiki/Broery_Marantika,./foto/Broery_Marantika.jpg,Jun 25 1948,
Budi Doremi,https://id.wikipedia.org/wiki/Budi_Doremi,,Sep 19 1984,
Caca Handika,https://id.wikipedia.org/wiki/Caca_Handika,,,
Cakra Khan,https://id.wikipedia.org/wiki/Cakra_Khan,./foto/Cakra_TL.jpg,Feb 27 1992,
Calvin Jeremy,https://id.wikipedia.org/wiki/Calvin_Jeremy,,May 6 1991,
Candra Darusman,https://id.wikipedia.org/wiki/Candra_Darusman,,,
Carlo Saba,https://id.wikipedia.org/wiki/Carlo_Saba,,,
Cas,https://id.wikipedia.org/wiki/Cas,,May 23 1983,
Chandra Satria,https://id.wikipedia.org/wiki/Chandra_Satria,./foto/Chandra_Satria.jpg,Sep 21 ,2012:06:06
Charles Hutagalung,https://id.wikipedia.org/wiki/Charles_Hutagalung,,Oct 14 1948,
Chrisye,https://id.wikipedia.org/wiki/Chrisye,./foto/Chrisye_in_1977.jpg,Sep 16 1949,
Darryl Wezy,https://id.wikipedia.org/wiki/Darryl_Wezy,./foto/Resized.jpg,Jul 5 1989,2012:02:23
Deddy Damhudi,https://id.wikipedia.org/wiki/Deddy_Damhudi,,,
Deddy Dhukun,https://id.wikipedia.org/wiki/Deddy_Dhukun,,Jun 20 1968,
Deddy Dores,https://id.wikipedia.org/wiki/Deddy_Dores,,Nov 28 1950,
Deddy Stanzah,https://id.wikipedia.org/wiki/Deddy_Stanzah,,,
Delon,https://id.wikipedia.org/wiki/Delon,,May 20 1978,
Denny Malik,https://id.wikipedia.org/wiki/Denny_Malik,,Feb 18 1963,
Derby Romero,https://id.wikipedia.org/wiki/Derby_Romero,,Jun 8 1990,
Dian Pramana Poetra,https://id.wikipedia.org/wiki/Dian_Pramana_Poetra,,,
Didi Kempot,https://id.wikipedia.org/wiki/Didi_Kempot,,Dec 31 1966,
Dik Doank,https://id.wikipedia.org/wiki/Dik_Doank,,Sep 21 1968,
Dimas Beck,https://id.wikipedia.org/wiki/Dimas_Beck,,May 8 1988,
Dirly,https://id.wikipedia.org/wiki/Dearly_Dave_Sompie,,Dec 10 1989,
Doel Sumbang,https://id.wikipedia.org/wiki/Doel_Sumbang,,,
Dyno,https://id.wikipedia.org/wiki/Dyno_(musisi),,,
Ebiet G Ade,https://id.wikipedia.org/wiki/Ebiet_G_Ade,./foto/Ebiet_In_Pendopo.jpg,Apr 21 1954,
Eddy Silitonga,https://id.wikipedia.org/wiki/Eddy_Silitonga,,,
Edo Kondologit,https://id.wikipedia.org/wiki/Edo_Kondologit,,Aug 5 1967,
Ello,https://id.wikipedia.org/wiki/Ello,,Feb 20 1983,
Elvyn G. Masassya,https://id.wikipedia.org/wiki/Elvyn_G._Masassya,,Jun 18 1967,
Emil,https://id.wikipedia.org/wiki/Emil_Dardak,,,
Evan Sanders,https://id.wikipedia.org/wiki/Evan_Sanders,./foto/Evan_Sanders.jpg,Nov 8 1981,
Eza Yayang,https://id.wikipedia.org/wiki/Eza_Yayang,,Feb 19 1982,
Fali Wiilmer,https://id.wikipedia.org/wiki/Fali_Wiilmer,,May 25 1999,
Farid Hardja,https://id.wikipedia.org/wiki/Farid_Hardja,./foto/Farid_hardja.jpg,Sep 7 1950,
Fariz RM,https://id.wikipedia.org/wiki/Fariz_RM,,,
Fatur,https://id.wikipedia.org/wiki/Fatur,,Dec 16 1968,
Franky Sahilatua,https://id.wikipedia.org/wiki/Franky_Sahilatua,./foto/Franky.jpg,Aug 16 1953,
Gavin MJ,https://id.wikipedia.org/wiki/Gavin_MJ,,,
Gilbert Pohan,https://id.wikipedia.org/wiki/Gilbert_Pohan,,,
Gito Rollies,https://id.wikipedia.org/wiki/Gito_Rollies,,Nov 1 1947,
Glenn Fredly,https://id.wikipedia.org/wiki/Glenn_Fredly,./foto/Glenn_Fredly.jpg,Sep 30 1975,
Glenn Waas,https://id.wikipedia.org/wiki/Glenn_Waas,,Nov 9 1978,
Gombloh,https://id.wikipedia.org/wiki/Gombloh,,Jul 14 1948,
Guntur,https://id.wikipedia.org/wiki/Guntur_Simbolon,,Oct 28 1983,
Haddad Alwi,https://id.wikipedia.org/wiki/Haddad_Alwi,./foto/Bghddad-alwi.jpg,Mar 13 1966,2013:05:25
Harry Roesli,https://id.wikipedia.org/wiki/Harry_Roesli,./foto/Harryroesli.jpg,Sep 10 1951,
Harvey Malaihollo,https://id.wikipedia.org/wiki/Harvey_Malaiholo,,May 3 1962,
Hedi Yunus,https://id.wikipedia.org/wiki/Hedi_Yunus,,Aug 24 1968,
Hemi Pesulima,https://id.wikipedia.org/wiki/Hemi_Pesulima,,,
Igo,https://id.wikipedia.org/wiki/Igo_Pentury,,,
Igor Tamerlan,https://id.wikipedia.org/wiki/Igor_Tamerlan,./foto/Igor_Tamerlan_enregistrant_%C3%A0_Paris.jpg,Sep 8 1954,2018:01:20
Ihsan,https://id.wikipedia.org/wiki/Muhammad_Ihsan_Tarore,./foto/Ihsan_Idol1.jpg,Aug 20 1989,
Ikang Fawzi,https://id.wikipedia.org/wiki/Ikang_Fawzi,./foto/Signature_of_Ikang_Fawzi.svg,Oct 23 1959,
Imanez,https://id.wikipedia.org/wiki/Imanez,,Jun 22 1967,
Indra Bekti,https://id.wikipedia.org/wiki/Indra_Bekti,,Dec 28 1977,
Indra Lesmana,https://id.wikipedia.org/wiki/Indra_Lesmana,./foto/Indra-live-pic2.jpg,Mar 28 1966,
Ipang,https://id.wikipedia.org/wiki/Ipang,,,
Irwansyah,https://id.wikipedia.org/wiki/Irwansyah,./foto/Irwansyah3.jpg,Mar 6 1985,
Is Haryanto,https://id.wikipedia.org/wiki/Is_Haryanto,,Aug 22 1940,
Itang Yunasz,https://id.wikipedia.org/wiki/Itang_Yunasz,,,
Iwa K,https://id.wikipedia.org/wiki/Iwa_K,,Oct 25 1970,
Iwan Abdie,https://id.wikipedia.org/wiki/Iwan_Abdie,,,
Iwan Fals,https://id.wikipedia.org/wiki/Iwan_Fals,,Sep 3 1961,
JFlow,https://id.wikipedia.org/wiki/JFlow,,Apr 8 1985,
Jaja Mihardja,https://id.wikipedia.org/wiki/Jaja_Mihardja,,Nov 1 1950,
Jamal Mirdad,https://id.wikipedia.org/wiki/Jamal_Mirdad,,May 7 1960,
Jamie Graham,https://id.wikipedia.org/wiki/Jamie_Aditya,,,
Jeffry Al Buchori,https://id.wikipedia.org/wiki/Jeffry_Al_Buchori,,,
Jhonny Iskandar,https://id.wikipedia.org/wiki/Jhonny_Iskandar,,,
Jimmie Manopo,https://id.wikipedia.org/wiki/Jimmie_Manopo,,Aug 22 1953,
Joeniar Arief,https://id.wikipedia.org/wiki/Joeniar_Arief,,Jun 18 1975,
Johan Untung,https://id.wikipedia.org/wiki/Johan_Untung,,Sep 29 1955,
Joshua Suherman,https://id.wikipedia.org/wiki/Joshua_Suherman,,Nov 3 1992,
Judika,https://id.wikipedia.org/wiki/Judika,./foto/Judik.jpg,Aug 31 1978,
Junaedi Salat,https://id.wikipedia.org/wiki/Junaedi_Salat,,,
Katon Bagaskara,https://id.wikipedia.org/wiki/Katon_Bagaskara,./foto/Katon_b.JPG,Jun 14 1966,
Keenan Nasution,https://id.wikipedia.org/wiki/Keenan_Nasution,,Jun 5 1952,
Kojek,https://id.wikipedia.org/wiki/Kojek,,Nov 13 1986,
Koes Hendratmo,https://id.wikipedia.org/wiki/Koes_Hendratmo,,Feb 9 1943,
Kris Biantoro,https://id.wikipedia.org/wiki/Kris_Biantoro,./foto/Kris_biantoro.jpg,Mar 17 1938,
Krisyanto,https://id.wikipedia.org/wiki/Krisyanto,,Feb 17 1966,
Kunto Aji,https://id.wikipedia.org/wiki/Kunto_Aji_Wibisono,,,
Leo Kristi,https://id.wikipedia.org/wiki/Leo_Kristi,,,
Leonardo,https://id.wikipedia.org/wiki/Leonardo_Ringo,,Aug 5 1977,
Lilo,https://id.wikipedia.org/wiki/Romulo_Radjadin,,,
Lobow,https://id.wikipedia.org/wiki/Lobow,./foto/Lobow.jpg,Sep 1 1977,
Lucky Octavian,https://id.wikipedia.org/wiki/Lucky_Octavian,./foto/1lucky.jpg,Oct 9 1981,
Lucky Wija,https://id.wikipedia.org/wiki/Lucky_Wija,,Sep 1 1975,
Luky Annash,https://id.wikipedia.org/wiki/Luky_Annash,./foto/Lukybyoxalis.jpg,Jul 21 1984,
Mansyur S,https://id.wikipedia.org/wiki/Mansyur_S,,Nov 30 1948,
Marcell,https://id.wikipedia.org/wiki/Marcell_Siahaan,,Sep 21 1977,
Matthew Sayersz,https://id.wikipedia.org/wiki/Matthew_Sayersz,,May 28 1988,
Mawi Purba,https://id.wikipedia.org/wiki/Mawi_Purba,,,
Mbah Surip,https://id.wikipedia.org/wiki/Mbah_Surip,,May 6 1957,
Melky Goeslaw,https://id.wikipedia.org/wiki/Melky_Goeslaw,,,
Meggy Z,https://id.wikipedia.org/wiki/Meggy_Z,,Aug 24 1945,
Mike Mohede,https://id.wikipedia.org/wiki/Mike_Mohede,./foto/Mike_Mohede.jpg,Nov 7 1983,
Mirza Hakim,https://id.wikipedia.org/wiki/Icha,,Oct 11 1976,
Muchsin Alatas,https://id.wikipedia.org/wiki/Muchsin_Alatas,,Feb 3 1944,
Mus Mujiono,https://id.wikipedia.org/wiki/Mus_Mujiono,,Mar 15 1960,
Mus Mulyadi,https://id.wikipedia.org/wiki/Mus_Mulyadi,,Aug 14 1945,
Nahum Situmorang,https://id.wikipedia.org/wiki/Nahum_Situmorang,,,
Nugie,https://id.wikipedia.org/wiki/Nugie,,Aug 31 1971,
Oddie Agam,https://id.wikipedia.org/wiki/Oddie_Agam,,,
Once Mekel,https://id.wikipedia.org/wiki/Elfonda_Mekel,./foto/Once_Dewa_2005.JPG,May 21 1970,2005:02:27
Opick,https://id.wikipedia.org/wiki/Opick,,Mar 16 1974,
Ozy Syahputra,https://id.wikipedia.org/wiki/Ozy_Syahputra,,Dec 1 1962,
Pance Pondaag,https://id.wikipedia.org/wiki/Pance_Pondaag,./foto/Pance_Pondaag.jpg,Feb 18 1951,
Pandji Pragiwaksono,https://id.wikipedia.org/wiki/Pandji_Pragiwaksono,./foto/Pandji_Social_Movement_Festival_Rotaract_Semanggi_Hariadhi.jpg,Jun 18 1979,
Petra Sihombing,https://id.wikipedia.org/wiki/Petra_Sihombing,,,
Pongki Barata,https://id.wikipedia.org/wiki/Pongki_Barata,,Nov 16 1977,
Pranadjaja,https://id.wikipedia.org/wiki/Pranadjaja,,,
Purnomo Sikas,https://id.wikipedia.org/wiki/Purnomo_Sikas,,,
Rachmat Kartolo,https://id.wikipedia.org/wiki/Rachmat_Kartolo,./foto/Rachmat_Kartolo_and_Wilsa%2C_Kunanti_Djawabmu%2C_1963_%28portrait_1%29.jpg,Mar 13 1938,
Rama Aiphama,https://id.wikipedia.org/wiki/Rama_Aiphama,,Sep 17 1956,
Ramona Purba,https://id.wikipedia.org/wiki/Ramona_Purba,./foto/Ramona_purba.jpg,Mar 12 1964,
Rano Karno,https://id.wikipedia.org/wiki/Rano_Karno,,,
Ras Muhamad,https://id.wikipedia.org/wiki/Ras_Muhamad,,Oct 29 1982,
Ren Tobing,https://id.wikipedia.org/wiki/Ren_Tobing,,Jun 7 1972,
Rendy Pandugo,https://id.wikipedia.org/wiki/Rendy_Pandugo,./foto/Rendy-Pandugo.jpg,May 7 1985,
Ressa Herlambang,https://id.wikipedia.org/wiki/Ressa_Herlambang,,Apr 18 1985,
Revo Marty,https://id.wikipedia.org/wiki/Revo_Marty,./foto/Revomarty.jpg,Oct 31 1985,
Reynold Panggabean,https://id.wikipedia.org/wiki/Reynold_Panggabean,,,
Rhoma Irama,https://id.wikipedia.org/wiki/Rhoma_Irama,./foto/Rhoma_Irama-cropped.jpg,Dec 11 1946,
Richie Ricardo,https://id.wikipedia.org/wiki/Richie_Ricardo,,,
Rinto Harahap,https://id.wikipedia.org/wiki/Rinto_Harahap,,Apr 10 1949,
Rio Febrian,https://id.wikipedia.org/wiki/Rio_Febrian,,,
Rio Silaen,https://id.wikipedia.org/wiki/Rio_Silaen,,,
Ron,https://id.wikipedia.org/wiki/Eron_Lebang,,,
Ronnie Sianturi,https://id.wikipedia.org/wiki/Ronny_Sianturi,,Sep 3 1965,
Ronni Waluya,https://id.wikipedia.org/wiki/Ronni_Waluya,,Dec 30 1966,
Sahrul Gunawan,https://id.wikipedia.org/wiki/Sahrul_Gunawan,,May 23 1976,
Sam Saimun,https://id.wikipedia.org/wiki/Sam_Saimun,,,
Sammy Simorangkir,https://id.wikipedia.org/wiki/Sammy_Simorangkir,,Sep 8 1982,
Sandhy Sondoro,https://id.wikipedia.org/wiki/Sandhy_Sondoro,,,
Sandy Canester,https://id.wikipedia.org/wiki/Sandy_Canester,,,
Sandy Thema,https://id.wikipedia.org/wiki/Sandy_Thema,,Apr 10 1985,
Sandro Tobing,https://id.wikipedia.org/wiki/Sandro_Tobing,,Mar 17 1963,
Sarwana,https://id.wikipedia.org/wiki/Sarwana_Thamrin,,May 17 1973,
Sawung Jabo,https://id.wikipedia.org/wiki/Sawung_Jabo,,May 4 1951,
Saykoji,https://id.wikipedia.org/wiki/Saykoji,,Jun 8 1983,
Setiawan Djodi,https://id.wikipedia.org/wiki/Setiawan_Djodi,,Apr 13 1949,
Sigit Wardana,https://id.wikipedia.org/wiki/Sigit_Wardana,,Jul 26 1978,
Stanley Sagala,https://id.wikipedia.org/wiki/Stanley_Sagala,,Oct 7 1973,
Sujiwo Tejo,https://id.wikipedia.org/wiki/Sujiwo_Tejo,,,
Sule,https://id.wikipedia.org/wiki/Entis_Sutisna,,Nov 15 1976,
Tantowi Yahya,https://id.wikipedia.org/wiki/Tantowi_Yahya,./foto/Ty3.jpg,Oct 29 1960,
Teza Sumendra,https://id.wikipedia.org/wiki/Teza_Sumendra,,Mar 11 1988,
Thomas Djorghi,https://id.wikipedia.org/wiki/Thomas_Djorghi,,Jun 12 1969,
Tiar Ramon,https://id.wikipedia.org/wiki/Tiar_Ramon,,,
Tito Soemarsono,https://id.wikipedia.org/wiki/Tito_Sumarsono,,,
Tompi,https://id.wikipedia.org/wiki/Tompi,./foto/Tompi.jpg,Sep 22 1978,2005:10:30
Tony Q Rastafara,https://id.wikipedia.org/wiki/Tony_Q_Rastafara,,Apr 27 1961,
Tulus,https://id.wikipedia.org/wiki/Muhammad_Tulus,,,
Utha Likumahuwa,https://id.wikipedia.org/wiki/Utha_Likumahuwa,,Aug 1 1955,
Vadi,https://id.wikipedia.org/wiki/Vadi_Akbar,,Aug 8 1995,
Victor Hutabarat,https://id.wikipedia.org/wiki/Victor_Hutabarat,,,
Viky Sianipar,https://id.wikipedia.org/wiki/Viky_Sianipar,,Jul 26 1976,
Vidi Aldiano,https://id.wikipedia.org/wiki/Vidi_Aldiano,./foto/Vidi_Aldiano_live_%40_Trans_TV.jpg,Mar 29 1990,2011:11:04
Virzha,https://id.wikipedia.org/wiki/Di_Muhammad_Devirzha,,,
Wizzow,https://id.wikipedia.org/wiki/Wizzow,./foto/Wizzow_Upload.jpg,Apr 22 1983,
Yana Julio,https://id.wikipedia.org/wiki/Yana_Julio,,Apr 8 1960,
Acha Septriasa,https://id.wikipedia.org/wiki/Acha_Septriasa,,Sep 1 1989,
Adinda Shalahita,https://id.wikipedia.org/wiki/Adinda_Shalahita,,Dec 13 1991,
Agnes Monica,https://id.wikipedia.org/wiki/Agnes_Monica,./foto/Agnes_Monica_in_2009_Asia_Song_Festival.jpg,Jul 1 1986,2009:09:18
Aida Mustafa,https://id.wikipedia.org/wiki/Aida_Mustafa,,Sep 23 1951,
Aimee Saras,https://id.wikipedia.org/wiki/Aimee_Saras,,Aug 14 1983,
Ajeng,https://id.wikipedia.org/wiki/Ajeng,,,
Alda Risma,https://id.wikipedia.org/wiki/Alda_Risma,,Nov 23 1982,
Aldyna,https://id.wikipedia.org/wiki/Aldyna,,Jun 22 1986,
Alena,https://id.wikipedia.org/wiki/Alena,,Nov 9 1981,
Alika,https://id.wikipedia.org/wiki/Karis_Alika_Islamadina,./foto/Alika_-_Aku_Pergi.jpg,Jun 24 1994,
Amanda,https://id.wikipedia.org/wiki/Rachel_Amanda,,,
Andi Meriem Matalatta,https://id.wikipedia.org/wiki/Andi_Meriem_Matalatta,,Aug 31 1957,
Andien,https://id.wikipedia.org/wiki/Andien,,Aug 25 1985,
Andira,https://id.wikipedia.org/wiki/Andira,,Mar 8 1995,
Andita,https://id.wikipedia.org/wiki/Andita_Minarska,,,
Andity,https://id.wikipedia.org/wiki/Andity,,Nov 20 1981,
Andrea Miranda,https://id.wikipedia.org/wiki/Andrea_Miranda,,Feb 14 1986,
Angel Paff,https://id.wikipedia.org/wiki/Angel_Paff,,,
Angel Pieters,https://id.wikipedia.org/wiki/Angel_Pieters,,Aug 15 1997,
Anggun C. Sasmi,https://id.wikipedia.org/wiki/Anggun_C._Sasmi,,,
Anie Carera,https://id.wikipedia.org/wiki/Anie_Carera,./foto/Anie-carera2016.jpg,Jun 1 1969,
Anita Tourisia,https://id.wikipedia.org/wiki/Anita_Tourisia,,,
Anna Mathovani,https://id.wikipedia.org/wiki/Anna_Mathovani,,,
Anneke Gronloh,https://id.wikipedia.org/wiki/Anneke_Gronloh,./foto/Anneke_Gr%C3%B6nloh.png,Jun 7 1942,
Annie Ibon,https://id.wikipedia.org/wiki/Annie_Ibon,./foto/Annie_Ibon.jpg,Sep 6 1969,
Arie Koesmiran,https://id.wikipedia.org/wiki/Arie_Kusmiran,,Apr 20 1958,
Arin Wolayan,https://id.wikipedia.org/wiki/Arin_Wolayan,,Jul 14 1988,
Ashanty,https://id.wikipedia.org/wiki/Ashanty,,Nov 4 1984,
Asteriska,https://id.wikipedia.org/wiki/Cabrini_Asteriska_Widiantini,,,
Asti Asmodiwati,https://id.wikipedia.org/wiki/Asti_Asmodiwati,,Aug 11 1967,
Astrid,https://id.wikipedia.org/wiki/Astrid_Sartiasari,,,
Atiek CB,https://id.wikipedia.org/wiki/Atiek_CB,,May 25 1963,
Audi Fristya,https://id.wikipedia.org/wiki/Audi_Fristya,,Feb 24 1994,
Audy,https://id.wikipedia.org/wiki/Audy,,Mar 24 1983,
Aura Kasih,https://id.wikipedia.org/wiki/Aura_Kasih,,Feb 26 1987,
Ayu Azhari,https://id.wikipedia.org/wiki/Ayu_Azhari,,Nov 19 1969,
Ayu Handayani,https://id.wikipedia.org/wiki/Ayu_Handayani,,Jul 13 1970,
Ayu Laksmi,https://id.wikipedia.org/wiki/Ayu_Laksmi,,Nov 25 1967,
Ayu Soraya,https://id.wikipedia.org/wiki/Ayu_Soraya,,,
Ayu Ting Ting,https://id.wikipedia.org/wiki/Ayu_Ting_Ting,,Jun 20 1992,
Ayushita,https://id.wikipedia.org/wiki/Ayushita,,Jun 9 1989,
Baby Valenta Duarte,https://id.wikipedia.org/wiki/Baby_Valenta_Duarte,./foto/3_Baby_Valenta_Duarte.jpg,Dec 18 1972,
Bella Saphira,https://id.wikipedia.org/wiki/Bella_Saphira,,Aug 6 1973,
Berlian Hutauruk,https://id.wikipedia.org/wiki/Berlian_Hutauruk,,Oct 11 1957,
Betharia Sonatha,https://id.wikipedia.org/wiki/Betharia_Sonatha,,Dec 14 1962,
Bilanova,https://id.wikipedia.org/wiki/Putri_Bilanova,,,
Bonita,https://id.wikipedia.org/wiki/Bonita,,May 7 1977,
Bornok Hutauruk,https://id.wikipedia.org/wiki/Bornok_Hutauruk,,,
Brianna Simorangkir,https://id.wikipedia.org/wiki/Brianna_Simorangkir,,,
Bunga Citra Lestari,https://id.wikipedia.org/wiki/Bunga_Citra_Lestari,,Mar 22 1983,
Calista Amadea,https://id.wikipedia.org/wiki/Calista_Amadea,,,
Camelia Malik,https://id.wikipedia.org/wiki/Camelia_Malik,,Apr 22 1955,
Chicha Koeswoyo,https://id.wikipedia.org/wiki/Chicha_Koeswoyo,,May 1 1968,
Chiki Fawzi,https://id.wikipedia.org/wiki/Chiki_Fawzi,,,
Chintami Atmanagara,https://id.wikipedia.org/wiki/Chintami_Atmanegara,,Jun 14 1962,
Chintya Sari,https://id.wikipedia.org/wiki/Chintya_Sari,,Dec 24 1982,
Chiquita Meidy,https://id.wikipedia.org/wiki/Chiquita_Meidy,./foto/Cikita.jpg,Oct 22 1990,2009:08:07
Christine Panjaitan,https://id.wikipedia.org/wiki/Christine_Panjaitan,,Dec 23 1960,
Cici Faramida,https://id.wikipedia.org/wiki/Cici_Faramida,,Sep 7 1973,
Cicih Cangkurileung,https://id.wikipedia.org/wiki/Cicih_Cangkurileung,,,
Cindy Bernadette,https://id.wikipedia.org/wiki/Cindy_Bernadette,,Feb 16 1978,
Cindy Carolina,https://id.wikipedia.org/wiki/Cindy_Carolina_Sibarani,,Mar 28 1982,
Cindy Cenora,https://id.wikipedia.org/wiki/Cindy_Cenora,,Dec 17 1990,
Cindy Claudia Harahap,https://id.wikipedia.org/wiki/Cindy_Claudia_Harahap,,Apr 5 1975,
Cindy Fatika Sari,https://id.wikipedia.org/wiki/Cindy_Fatika_Sari,,Dec 18 1978,
Cinta Laura,https://id.wikipedia.org/wiki/Cinta_Laura,,Aug 17 1993,
Cinta Ramlan,https://id.wikipedia.org/wiki/Cinta_Ramlan,,Feb 18 1982,
Cita Citata,https://id.wikipedia.org/wiki/Cita_Citata,,Aug 14 1994,
Citra Scholastika,https://id.wikipedia.org/wiki/Citra_Scholastika,,Jun 5 1994,
Connie Constantia,https://id.wikipedia.org/wiki/Connie_Constantia,,,
Conny Dio,https://id.wikipedia.org/wiki/Conny_Dio,,Jun 15 1975,
Cucu Cahyati,https://id.wikipedia.org/wiki/Cucu_Cahyati,,Aug 17 1970,
Cut Irna,https://id.wikipedia.org/wiki/Cut_Irna,,,
Cynthia Lamusu,https://id.wikipedia.org/wiki/Cynthia_Lamusu,,Apr 12 1978,
Cynthia Maramis,https://id.wikipedia.org/wiki/Cynthia_Maramis,,,
Danilla,https://id.wikipedia.org/wiki/Danilla,,,
Dea Mirella,https://id.wikipedia.org/wiki/Dea_Mirella,,May 23 1975,
Dea Mongkar,https://id.wikipedia.org/wiki/Dea_Mongkar,./foto/Dea_Mongkar.jpg,Oct 24 1991,
Deasy Arisandi,https://id.wikipedia.org/wiki/Deasy_Arisandi,./foto/Deasy_Arisandi.jpg,Nov 8 1958,
Deasy Natalina,https://id.wikipedia.org/wiki/Deasy_Natalina,,Dec 12 1981,
Delia Paramitha,https://id.wikipedia.org/wiki/Delia_Paramitha,,Dec 17 1979,
Denada,https://id.wikipedia.org/wiki/Denada,,Dec 19 1978,
Dera Siagian,https://id.wikipedia.org/wiki/Dera_Siagian,,Dec 2 1993,
Dessy Fitri,https://id.wikipedia.org/wiki/Dessy_Fitri,,Dec 9 1970,
Desy Ratnasari,https://id.wikipedia.org/wiki/Desy_Ratnasari,,,
Detty Kurnia,https://id.wikipedia.org/wiki/Detty_Kurnia,,Aug 15 1961,
Dewi Gita,https://id.wikipedia.org/wiki/Dewi_Gita,,Jul 28 1970,
Dewi Lestari,https://id.wikipedia.org/wiki/Dewi_Lestari,,,
Dewi Perssik,https://id.wikipedia.org/wiki/Dewi_Perssik,./foto/Dewi-persik.jpg,Dec 16 1985,
Dewi Puspa,https://id.wikipedia.org/wiki/Dewi_Puspa,,May 4 1959,
Dewi Sandra,https://id.wikipedia.org/wiki/Dewi_Sandra,,Apr 3 1980,
Dewi Yull,https://id.wikipedia.org/wiki/Dewi_Yull,,May 10 1961,
Dewiq,https://id.wikipedia.org/wiki/Dewiq,,Jun 15 1975,
Dhea Ananda,https://id.wikipedia.org/wiki/Dhea_Ananda,,May 25 1986,
Dhisa,https://id.wikipedia.org/wiki/Dhisa,,Sep 3 1990,
Diah Iskandar,https://id.wikipedia.org/wiki/Diah_Iskandar,./foto/Diah-iskandar-13.jpg,Feb 12 1947,0000:00:00
Dian Mayasari,https://id.wikipedia.org/wiki/Dian_Mayasari,,,
Dian Piesesha,https://id.wikipedia.org/wiki/Dian_Piesesha,,Mar 9 1961,
Diana Nasution,https://id.wikipedia.org/wiki/Diana_Nasution,,Apr 5 1958,
Diana Papilaya,https://id.wikipedia.org/wiki/Diana_Papilaya,,,
Dike Ardilla,https://id.wikipedia.org/wiki/Dike_Ardilla,,May 17 1982,
Dina Mariana,https://id.wikipedia.org/wiki/Dina_Mariana,,Aug 21 1965,
Dira,https://id.wikipedia.org/wiki/Dira_Sugandi,./foto/Dira_Sugandi_in_concert_crop.jpg,Jul 29 1979,
